Date,Units,NAV,Amount
08-06-2022,68.354,146.29,10000.00
14-06-2022,71.354,140.14,10000.00
07-07-2022,70.568,141.70,10000.00
18-07-2022,36.104,138.48,5000.00
08-08-2022,66.985,149.28,10000.00
07-09-2022,70.271,142.30,10000.00
03-11-2022,68.279,146.45,10000.00
12-12-2022,67.337,148.50,10000.00
05-01-2023,69.129,144.65,10000.00
06-02-2023,65.721,152.15,10000.00
06-03-2023,66.851,149.58,10000.00
06-04-2023,69.086,144.74,10000.00
18-04-2023,108.824,137.83,15000.00
08-05-2023,70.583,141.67,10000.00
06-06-2023,67.848,147.38,10000.00
06-07-2023,65.063,153.69,10000.00
07-08-2023,62.217,160.72,10000.00
06-09-2023,59.337,168.52,10000.00
09-10-2023,59.327,168.55,10000.00
07-11-2023,60.383,165.60,10000.00
06-12-2023,56.796,176.06,10000.00
08-01-2024,54.357,183.96,10000.00
07-02-2024,75.184,199.50,15000.00
18-10-2024,4.254,235.06,1000.00
21-10-2024,17.233,232.10,4000.00
