Date,Units,NAV,Amount
25-03-2022,64.163,77.92,5000.00
06-04-2022,60.715,82.35,5000.00
17-05-2022,66.124,75.61,5000.00
16-06-2022,69.332,72.11,5000.00
15-07-2022,65.109,76.79,5000.00
17-08-2022,58.626,85.28,5000.00
16-09-2022,11.518,86.82,1000.00
03-11-2022,115.93,86.26,10000.00
13-12-2022,11.389,87.80,1000.00
05-01-2023,11.61,86.13,1000.00
20-02-2023,17.473,85.84,1500.00
10-08-2023,100.341,99.66,10000.00
12-09-2023,96.05,104.11,10000.00
11-10-2023,95.918,104.25,10000.00
13-11-2023,94.582,105.72,10000.00
12-12-2023,90.289,110.75,10000.00
11-01-2024,86.307,115.86,10000.00
12-02-2024,87.921,113.73,10000.00
12-03-2024,86.105,116.13,10000.00
12-04-2024,81.753,122.31,10000.00
28-10-2024,33.497,149.26,5000.00
04-12-2024,51.185,156.29,8000.00
06-01-2025,52.32,152.90,8000.00
30-01-2025,57.414,139.33,8000.00
03-02-2025,3.589,139.30,500.00
03-03-2025,63.263,126.45,8000.00
02-04-2025,58.975,135.64,8000.00
02-05-2025,57.447,139.25,8000.00
02-06-2025,53.408,149.78,8000.00
21-07-2025,62.889,159.00,10000.00
01-08-2025,64.15,155.88,10000.00
08-08-2025,0.647,154.63,100.00
