Date,Units,NAV,Amount
10-05-2021,2499.875,10.00,25000
18-05-2021,990.148,10.10,10000
24-05-2021,2476.840,10.09,25000
15-06-2021,927.081,10.79,10000
01-07-2021,2576.748,11.64,30000
16-07-2021,861.952,11.60,10000
29-07-2021,871.037,11.48,10000
17-08-2021,896.253,11.16,10000
20-08-2021,920.595,10.86,10000
16-09-2021,867.184,11.53,10000
18-01-2022,874.235,11.44,10000
17-10-2022,1272.201,7.86,10000
18-04-2023,954.606,10.48,10000
16-05-2023,901.831,11.09,10000
16-06-2023,728.296,13.73,10000
18-07-2023,716.091,13.96,10000
17-08-2023,759.956,13.16,10000
15-09-2023,727.607,13.74,10000
17-10-2023,742.684,13.46,10000
15-11-2023,702.311,14.24,10000
15-12-2023,660.731,15.13,10000
15-01-2024,654.289,15.28,10000
15-02-2024,578.407,17.29,10000
18-03-2024,566.865,17.64,10000
16-04-2024,494.046,20.24,10000
15-05-2024,493.876,20.25,10000
19-06-2024,493.851,20.25,10000
15-07-2024,465.007,21.50,10000
16-08-2024,493.267,20.27,10000
16-09-2024,497.958,20.08,10000
15-10-2024,483.979,20.66,10000
19-11-2024,433.761,23.05,10000
16-12-2024,351.625,28.44,10000
15-01-2025,356.108,28.08,10000
17-02-2025,325.865,30.69,10000
17-03-2025,408.260,24.49,10000
15-05-2025,346.075,28.89,10000
16-06-2025,349.071,28.65,10000
15-07-2025,313.160,31.93,10000
18-08-2025,295.031,33.89,10000
15-09-2025,282.935,35.34,10000
15-10-2025,277.332,36.06,10000
18-11-2025,275.073,36.35,10000
