Date,Units,NAV,Amount
24-03-2022,24.422,102.36,2500.00
17-05-2022,25.752,97.08,2500.00
16-06-2022,27.112,92.21,2500.00
15-07-2022,25.581,97.73,2500.00
18-08-2022,23.307,107.26,2500.00
15-09-2022,23.166,107.91,2500.00
17-10-2022,24.306,102.85,2500.00
15-11-2022,23.272,107.42,2500.00
15-12-2022,23,108.69,2500.00
16-01-2023,23.59,105.97,2500.00
15-02-2023,23.904,104.58,2500.00
15-03-2023,24.847,100.61,2500.00
18-04-2023,24.009,104.12,2500.00
16-05-2023,23.104,108.20,2500.00
16-06-2023,22.177,112.72,2500.00
18-07-2023,21.161,118.14,2500.00
17-08-2023,20.813,120.11,2500.00
15-09-2023,19.596,127.57,2500.00
17-10-2023,19.821,126.12,2500.00
15-11-2023,19.886,125.71,2500.00
01-12-2023,76.605,130.53,10000.00
01-01-2024,71.826,139.22,10000.00
01-02-2024,70.487,141.86,10000.00
01-03-2024,68.805,145.33,10000.00
18-03-2024,17.843,140.10,2500.00
02-04-2024,68.489,146.00,10000.00
16-04-2024,17.121,146.01,2500.00
02-05-2024,66.784,149.73,10000.00
15-05-2024,16.801,148.80,2500.00
03-06-2024,64.423,155.22,10000.00
19-06-2024,15.687,159.36,2500.00
01-07-2024,61.277,163.19,10000.00
15-07-2024,14.983,166.85,2500.00
01-08-2024,58.809,170.03,10000.00
16-08-2024,15.011,166.54,2500.00
02-09-2024,58.209,171.79,10000.00
16-09-2024,14.486,172.57,2500.00
01-10-2024,57.361,174.33,10000.00
15-10-2024,14.726,169.75,2500.00
04-11-2024,61.928,161.47,10000.00
19-11-2024,15.811,158.12,2500.00
02-12-2024,60.575,165.08,10000.00
16-12-2024,14.752,169.46,2500.00
01-01-2025,61.564,162.43,10000.00
15-01-2025,16.191,154.40,2500.00
03-02-2025,65.691,152.22,10000.00
17-02-2025,17.091,146.27,2500.00
03-03-2025,70.659,141.52,10000.00
17-03-2025,17.301,144.50,2500.00
02-04-2025,65.737,152.11,10000.00
15-04-2025,16.52,151.32,2500.00
02-05-2025,63.793,156.75,10000.00
15-05-2025,15.345,162.91,2500.00
02-06-2025,60.935,164.10,10000.00
16-06-2025,14.953,167.19,2500.00
01-07-2025,58.575,170.71,10000.00
15-07-2025,14.609,171.12,2500.00
04-08-2025,59.966,166.75,10000.00
01-09-2025,59.912,166.90,10000.00
01-10-2025,59.045,169.36,10000.00
03-11-2025,56.401,177.29,10000.00
