Date,Units,NAV,Amount
23-04-2021,122.303,40.88,5000.00
15-06-2021,111.683,44.77,5000.00
16-07-2021,104.235,47.97,5000.00
17-08-2021,102.207,48.92,5000.00
15-09-2021,95.76,52.21,5000.00
18-10-2021,90.676,55.14,5000.00
15-11-2021,90.515,55.24,5000.00
15-12-2021,91.822,54.45,5000.00
17-01-2022,91.246,54.79,5000.00
15-02-2022,96.503,51.81,5000.00
15-03-2022,101.087,49.46,5000.00
18-04-2022,96.769,51.67,5000.00
17-05-2022,103.486,48.31,5000.00
16-06-2022,108.563,46.05,5000.00
15-07-2022,104.946,47.64,5000.00
17-08-2022,94.852,52.71,5000.00
16-09-2022,19.336,51.71,1000.00
03-11-2022,38.975,51.31,2000.00
05-01-2023,19.638,50.92,1000.00
06-02-2023,93.835,53.28,5000.00
06-03-2023,94.112,53.13,5000.00
06-04-2023,92.908,53.81,5000.00
08-05-2023,89.004,56.17,5000.00
06-06-2023,85.443,58.52,5000.00
06-07-2023,82.637,60.50,5000.00
07-08-2023,81.495,61.35,5000.00
06-09-2023,80.16,62.37,5000.00
09-10-2023,79.872,62.60,5000.00
07-11-2023,77.773,64.29,5000.00
01-12-2023,74.424,67.18,5000.00
06-12-2023,73.108,68.39,5000.00
08-01-2024,71.078,70.34,5000.00
10-01-2024,70.629,70.79,5000.00
06-02-2024,67.489,74.08,5000.00
12-02-2024,68.047,73.47,5000.00
06-03-2024,66.375,75.33,5000.00
12-03-2024,66.802,74.84,5000.00
08-04-2024,65.161,76.73,5000.00
10-04-2024,64.724,77.25,5000.00
07-05-2024,64.714,77.26,5000.00
10-05-2024,65.101,76.80,5000.00
06-06-2024,63.436,78.82,5000.00
11-06-2024,62.296,80.26,5000.00
08-07-2024,59.536,83.98,5000.00
10-07-2024,59.381,84.20,5000.00
06-08-2024,60.835,82.19,5000.00
13-08-2024,60.163,83.10,5000.00
06-09-2024,58.724,85.14,5000.00
10-09-2024,58.374,85.65,5000.00
07-10-2024,58.153,85.98,5000.00
10-10-2024,57.186,87.43,5000.00
06-11-2024,57.412,87.08,5000.00
11-11-2024,57.295,87.26,5000.00
04-12-2024,113.817,87.86,10000.00
06-01-2025,114.481,87.35,10000.00
30-01-2025,115.662,86.45,10000.00
03-03-2025,120.634,82.89,10000.00
02-04-2025,117.481,85.12,10000.00
02-05-2025,113.65,87.98,10000.00
02-06-2025,111.127,89.98,10000.00
09-07-2025,107.818,92.74,10000.00
01-08-2025,109.487,91.33,10000.00
06-11-2025,426.530177,93.78,40000.00
11-12-2025,52.776,94.7350,5000.00
11-12-2025,211.11,94.735,20000.00
