Date,Units,NAV,Amount
 12-01-2022,82.981,120.50,10000.00
 15-02-2022,89.054,112.29,10000.00
 15-03-2022,90.255,110.79,10000.00
 18-04-2022,85.46,117.01,10000.00
 17-05-2022,90.483,110.51,10000.00
 16-06-2022,94.481,105.84,10000.00
 15-07-2022,89.925,111.20,10000.00
 17-08-2022,81.495,122.70,10000.00
 03-11-2022,77.857,128.43,10000.00
 05-12-2022,76.308,131.04,10000.00
 03-01-2023,78.302,127.70,10000.00
 03-02-2023,80.453,124.29,10000.00
 03-03-2023,80.675,123.95,10000.00
 03-04-2023,81.878,122.13,10000.00
 03-05-2023,78.432,127.49,10000.00
 06-06-2023,74.861,133.57,10000.00
 03-07-2023,72.108,138.67,10000.00
 03-08-2023,68.924,145.08,10000.00
 04-09-2023,65.971,151.57,10000.00
 03-10-2023,65.903,151.73,10000.00
 06-11-2023,66.845,149.59,10000.00
 04-12-2023,62.965,158.81,10000.00
 03-01-2024,61.685,162.11,10000.00
 05-02-2024,60.309,165.80,10000.00
 04-03-2024,58.133,172.01,10000.00
 03-04-2024,57.57,173.69,10000.00
