Date,Units,NAV,Amount
15-09-2022,313.668,63.76,20000.00
03-11-2022,16.165,61.86,1000.00
05-01-2023,16.027,62.39,1000.00
06-02-2023,42.165,59.29,2500.00
06-03-2023,41.855,59.73,2500.00
06-04-2023,42.289,59.11,2500.00
08-05-2023,40.714,61.40,2500.00
06-06-2023,40.399,61.88,2500.00
06-07-2023,37.349,66.93,2500.00
07-08-2023,35.864,69.70,2500.00
06-09-2023,35.077,71.27,2500.00
09-10-2023,36.237,68.99,2500.00
07-11-2023,35.325,70.77,2500.00
06-12-2023,31.883,78.41,2500.00
08-01-2024,30.239,82.67,2500.00
07-02-2024,56.004,89.27,5000.00
07-10-2024,99.592,100.40,10000.00
28-10-2024,155.392,96.53,15000.00
04-12-2024,103.178,96.91,10000.00
06-01-2025,107.64,92.90,10000.00
30-01-2025,110.924,90.15,10000.00
03-03-2025,121.082,82.58,10000.00
02-04-2025,113.787,87.88,10000.00
02-05-2025,111.644,89.57,10000.00
02-06-2025,107.072,93.39,10000.00
18-07-2025,104.554,95.64,10000.00
01-08-2025,108.255,92.37,10000.00
