Date,Units,NAV,Amount
30-03-2022,36.6,136.61,5000.00
06-04-2022,34.094,146.64,5000.00
17-05-2022,39.179,127.61,5000.00
16-06-2022,42.4,117.92,5000.00
15-07-2022,40.069,124.78,5000.00
17-08-2022,36.778,135.94,5000.00
16-09-2022,6.994,142.97,1000.00
03-11-2022,6.929,144.31,1000.00
12-12-2022,6.452,154.98,1000.00
05-01-2023,6.454,154.94,1000.00
06-02-2023,66.62,150.10,10000.00
06-03-2023,65.6,152.43,10000.00
06-04-2023,66.576,150.20,10000.00
08-05-2023,62.915,158.94,10000.00
06-06-2023,60.338,165.72,10000.00
06-07-2023,57.222,174.75,10000.00
07-08-2023,53.783,185.92,10000.00
06-09-2023,50.724,197.13,10000.00
09-10-2023,51.9,192.67,10000.00
07-11-2023,51.08,195.76,10000.00
06-12-2023,46.086,216.98,10000.00
08-01-2024,43,232.55,10000.00
07-02-2024,38.803,257.70,10000.00
22-04-2024,18.928,264.15,5000.00
22-04-2024,18.928,264.15,5000.00
11-06-2024,17.952,278.50,5000.00
20-06-2024,17.325,288.59,5000.00
08-07-2024,16.928,295.35,5000.00
22-07-2024,17.184,290.95,5000.00
08-08-2024,17.2,290.69,5000.00
20-08-2024,16.802,297.57,5000.00
09-09-2024,16.583,301.50,5000.00
11-09-2024,3.309,302.17,1000.00
20-09-2024,16.493,303.15,5000.00
08-10-2024,16.925,295.40,5000.00
22-10-2024,17.629,283.61,5000.00
08-11-2024,17.225,290.26,5000.00
21-11-2024,18.196,274.77,5000.00
04-12-2024,33.759,296.20,10000.00
06-01-2025,35.947,278.17,10000.00
30-01-2025,38.984,256.51,10000.00
03-03-2025,43.162,231.67,10000.00
02-04-2025,40.071,249.55,10000.00
02-05-2025,39.07,255.94,10000.00
02-06-2025,36.632,272.98,10000.00
18-07-2025,34.885,286.64,10000.00
01-08-2025,36.419,274.57,10000.00
